"بيانات المنتج","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No.","النوع ","أسم المنتج","تصنيف المنتج","صورة المنتج","وصف صورة المنتج","نوع المنتج","سعر المنتج","الكمية المتوفرة","الوصف","هل يتطلب شحن؟","رمز المنتج sku","سعر التكلفة","السعر المخفض","تاريخ بداية التخفيض","تاريخ نهاية التخفيض","اقصي كمية لكل عميل","إخفاء خيار تحديد الكمية","اضافة صورة عند الطلب","الوزن","وحدة الوزن","حالة المنتج","الماركة","العنوان الترويجي","تثبيت المنتج","الباركود","السعرات الحرارية","MPN","GTIN","خاضع للضريبة ؟","سبب عدم الخضوع للضريبة","[1] الاسم","[1] النوع","[1] القيمة","[1] الصورة / اللون","[2] الاسم","[2] النوع","[2] القيمة","[2] الصورة / اللون","[3] الاسم","[3] النوع","[3] القيمة","[3] الصورة / اللون","[4] الاسم","[4] النوع","[4] القيمة","[4] الصورة / اللون"
"274752214","منتج","ساعة رملية ذكية","قسم الساعات الذكية","https://cdn.salla.sa/dPllnK/47b01fd8-8948-4e6b-9efe-7fd73bc6935c-1000x1000-LV2vuP9Nsv0nD309SBlWyRIWE0hxt2hp6RBVyemR.jpg,https://cdn.salla.sa/dPllnK/93e3323d-3794-4df3-a23f-a6fc174463aa-1000x1000-7AtwSaccxag2Iy86pvZdjWSumupw7PcwqnWpI3zV.jpg,https://cdn.salla.sa/dPllnK/95d15f26-5ba1-472a-ba1e-f0df7be9beab-1000x1000-djw4ehd3TlAf5CMbMVIBDoVhibgCsX3taBqR4Myn.jpg,https://cdn.salla.sa/dPllnK/d48955c8-1a1f-4a23-9cb0-543b1a284d1e-1000x1000-eWpVlG36qllpUV0Oc9zQvlELRuhxcFnyZDtENw5i.jpg,https://cdn.salla.sa/dPllnK/d614bf3e-3a56-419c-ac94-8e886fe2a196-1000x1000-m39vgheBScIf0NBeU2X1m440F6dIHfDaXZ6bpWSI.jpg","","منتج جاهز","276.00","6","<p><strong>الساعة الرملية الإلكترونية</strong> ⏳</p><p><br></p><p>لون الضوء: ضوء أصفر دافئ 🌟</p><p><br></p><p>لون المنتج: أسود / أبيض ⚫⚪</p><p><br></p><p>مادة المنتج: بلاستيك عالي الجودة 🧴</p><p><br></p><p>طريقة الشحن: منفذ نوع C 🔌</p><p><br></p><p>الوظائف: تعديل السطوع، توقيت ذكي، وتعديل الوضع 🕰️</p><p><br></p><p>المشاهد المناسبة: المكتب، المطبخ، غرفة النوم 🏠💻🍽️</p><p><br></p><p><br></p><p><strong>مواصفات المنتج:</strong></p><p><br></p><p><strong>رفيق ليلي لغرفتك:</strong></p><p>تصور أنك تدخل إلى غرفة نومك، حيث يملأ الضوء الناعم الأجواء تمامًا كضوء القمر 🌙، مما يخلق بيئة هادئة ومريحة تساعدك على الاسترخاء والنوم بهدوء 😴. هذه الساعة الرملية ليست مجرد مصدر إضاءة، بل هي مصدر راحة وتسلية، ترافقك لتهدئة عقلك وتحضيرك لأحلى ليالٍ من النوم 🛏️.</p><p><br></p><p><strong>إضاءة المدخل الساحرة:</strong></p><p>عند عودتك إلى المنزل بعد يوم طويل 🏡، يرحب بك ضوءها الدافئ الذي يضيء طريقك بلطف، ليمنحك شعورًا بالراحة والسكينة 🌈. ليس مجرد مصباح، بل قطعة فنية تضيف لمسة من الأناقة والجمال إلى مدخلك 🎨✨.</p><p><br></p><p><strong>إضاءة العمل والدراسة:</strong></p><p>مع هذا المصباح، تجد المساعدة المثالية في أوقات العمل والدراسة 📚💡. تتيح لك خاصية المؤقت الإلكتروني تنظيم وقتك بفعالية ⏱️، مما يعزز من كفاءتك. الضوء الساطع والمريح يتيح لك التركيز الكامل دون إجهاد العينين 👀، مما يساعدك على الإبداع والانجاز بسهولة 💪.</p><p><br></p><p><strong>عد تنازلي للمطبخ:</strong></p><p>عندما تدخل المطبخ 🍳، يصبح هذا المصباح مساعدك المثالي أثناء الطهي. مع خاصية العد التنازلي ⏳، يمكنك متابعة الوقت بدقة أثناء إعداد الطعام، مما يضمن لك طهي الوجبات على أكمل وجه وتقديمها بأفضل شكل 🍽️.</p><p><br></p><p><br></p><p><strong>نصيحة لاستخدامه:</strong></p><p><br></p><p>الدخول إلى وضع الحلقة اللانهائية: اضغط على زر النموذج لدخول وضع الحلقة اللانهائية، واضغط مرة أخرى لتأكيد البدء. سيبدأ المصباح في التدوير بشكل مستمر 🔄.</p><p><br></p><p>تحديد مدة العد التنازلي: اضغط على زر النموذج لاختيار مدة العد التنازلي، ثم استخدم الأزرار + و- لضبط الوقت كما ترغب. بعد التعديل، اضغط على زر الوضع لتأكيد البدء ⏰.</p><p><br></p><p>تشغيل وإيقاف: اضغط مع الاستمرار على زر التشغيل/الإيقاف لمدة 3 ثوانٍ لتشغيل الجهاز وعرض الرموز والوجوه المبتسمة 😊.</p><p><br></p><p><br></p><p><br></p><p><img src=https://ae01.alicdn.com/kf/Sa70684c33a0a46f58a96071a223532fdZ.jpg> <img src=https://ae01.alicdn.com/kf/S4d2450984003490d88677b1a4fb4c582n.jpg> <img src=https://ae01.alicdn.com/kf/Sbb0256e8587843f9a6eccbf67e2a0168n.jpg> <img src=https://ae01.alicdn.com/kf/S71e878a43eac4a96b27618bd7e0fc283A.jpg> <img src=https://ae01.alicdn.com/kf/S14a7b3bd7ebb4094b0d56b4d5d2987bdY.jpg> <img src=https://ae01.alicdn.com/kf/S47bf60bc338d40f9886b9c8636b21b54U.jpg> <img src=https://ae01.alicdn.com/kf/Sd3f0871b763343aca7b6b64c8689a373P.jpg> <img src=https://ae01.alicdn.com/kf/S9d960443a2e343debc21e52e1e1eedb4t.jpg> <img src=https://ae01.alicdn.com/kf/S89252e5cd7594cc488ff435c91a7548cJ.jpg> <img src=https://ae01.alicdn.com/kf/S733f77feabbd411abd47405c322dd44cC.jpg></p><p><img src=https://ae01.alicdn.com/kf/Sfe938b62a72a42d8901cae60d5dbccb5o.jpg></p>","نعم","ADAE1005008610989949","75.13","","","",""," ","لا","0.13","kg","متاح","","","لا","","","","","نعم","","اللون","صورة","","","","","","","","","","","","","",""
"717158353","خيار","ساعة رملية ذكية","","","","","276.00","3","","","12000045944017955","75.13","","","","","","","","","","","","","","","","","","","","","أسود","https://cdn.salla.sa/dPllnK/c9503435-df2e-48e5-85eb-e24b4da61de9-1000x1000-A4uwXpkXAPOTbWI7msaFlSHsPb0pIpamb8WB7VUM.jpg","","","","","","","","","","","",""
"77272786","خيار","ساعة رملية ذكية","","","","","276.28","3","","","12000045944017956","75.41","","","","","","","","","","","","","","","","","","","","","أبيض","https://cdn.salla.sa/dPllnK/e1380981-dcb9-440d-9731-1f0aeb3e9ef6-1000x1000-HSJV4JP0v7KhEFK3mLgL18F8EkT3plK5QeoXf9tM.jpg","","","","","","","","","","","",""
"658099762","منتج","ساعة ذكية ٢ في ١ مع سماعة رأس بلوتوث","قسم الساعات الذكية","https://ae01.alicdn.com/kf/S9e37fd39606e48b9b3d04ccf0f2ea481I.jpg,https://cdn.salla.sa/dPllnK/ce2cdf71-2cf0-44e9-990c-61fa8ee99584-1000x1000-3SrLaL2FS5Wf9KaqU4gtXllTcHen41YBIRsHRRcC.jpg,https://cdn.salla.sa/dPllnK/6b6b3a03-5c71-4b9c-9ad1-17f9efc4214a-1000x1000-9a2LtSxziKYPzNWhTzgqvFh5IXnbY9MWnP3uGBRZ.jpg","","منتج جاهز","316.00","59994","<p><strong>سوار رياضي ذكي وسماعة بلوتوث 2 في 1 – K13</strong></p><p><br></p><p><strong>المواصفات:</strong></p><p><br></p><p>الشاشة: شاشة ملونة 1.14 إنش TFT</p><p><br></p><p>دقة العرض: 135×240 بكسل</p><p><br></p><p>طريقة التحكم: لمس نقطة</p><p><br></p><p>إصدار البلوتوث: BT 5.2 (شريحة BT8918C)</p><p><br></p><p>البطارية: 100 مللي أمبير</p><p><br></p><p>وقت التحدث: يصل إلى 4.5 ساعة</p><p><br></p><p>وضع الاستعداد: حتى 7 أيام</p><p><br></p><p>طريقة الشحن: شحن مغناطيسي (قرصة)</p><p><br></p><p>التوافق: متوافق مع أنظمة iOS وأندرويد وجميع الهواتف الذكية</p><p><br></p><p>مقاومة الماء: مقاوم للماء للاستخدام اليومي (غير مناسب للاستحمام بالماء الساخن أو السباحة أو الغوص)</p><p><br></p><p><br></p><p><strong>أبعاد السوار:</strong></p><p>أبعاد العلبة: 42×24 ملم</p><p>سمك الهيكل: 15 ملم</p><p>عرض الحزام: 21 ملم</p><p>الطول الإجمالي: 24.9 سم</p><p>الوزن: 30 جرام</p><p><br></p><p><br></p><p><strong>اللغات المدعومة:</strong></p><p>الصينية والإنجليزية</p><p><br></p><p><br></p><p><strong>الوظائف:</strong></p><p>✔️ أوضاع رياضية متعددة: الجري، ركوب الدراجات، السباحة، قفز الحبل، تنس الطاولة، التنس، كرة الريشة</p><p>✔️ مراقبة الصحة: قياس معدل ضربات القلب، ضغط الدم، نسبة الأكسجين في الدم، مراقبة النوم</p><p>✔️ مزايا إضافية: عرض الوقت، إجراء واستقبال المكالمات، تذكير بالمكالمات، تشغيل الموسيقى، عداد الخطوات، حساب السعرات الحرارية، منبه ذكي</p><p><br></p><p><strong>محتوى العبوة:</strong></p><p>1 × سوار ذكي K13</p><p>1 × كابل شحن</p><p>1 × دليل المستخدم</p><p>1 × الصندوق الأصلي</p><p><br></p><p><br></p><p><strong>⚠️ ملاحظة هامة:</strong></p><p>هذا الجهاز ليس بديلاً عن الأجهزة الطبية، وقد تحتوي قياسات الصحة على نسبة خطأ بسيطة، لذا يُستخدم كمرجع فقط.</p><p><br></p><p><img src=https://ae01.alicdn.com/kf/S676dad6494c8460bbb67344ba270fa19q.jpg?width=1000&amp;height=1933&amp;hash=2933><img src=https://ae01.alicdn.com/kf/S6e699e87413f4438b064a37013c45d90B.jpg?width=1000&amp;height=1545&amp;hash=2545><img src=https://ae01.alicdn.com/kf/S6caae9b801944cbfae8f2582c07a3447e.jpg?width=1000&amp;height=1523&amp;hash=2523><img src=https://ae01.alicdn.com/kf/S8a5a9101ece24d369e1d4be7dc88f621h.jpg?width=1000&amp;height=1496&amp;hash=2496><img src=https://ae01.alicdn.com/kf/Scac42465ea3a480087c424de8b1f52f0f.jpg?width=1000&amp;height=1412&amp;hash=2412><img src=https://ae01.alicdn.com/kf/Scee4781a41e348d3bad73abdc7002817Q.jpg?width=1000&amp;height=869&amp;hash=1869><img src=https://ae01.alicdn.com/kf/Sf3a79158e57147998c96ae1e90591345T.jpg?width=1000&amp;height=1633&amp;hash=2633><img src=https://ae01.alicdn.com/kf/S2fc4a608b2454c9bb732d1384fcb2419x.jpg?width=1000&amp;height=1770&amp;hash=2770><img src=https://ae01.alicdn.com/kf/S8dc6306388274558a6955bf771db13caH.jpg?width=1000&amp;height=1643&amp;hash=2643><img src=https://ae01.alicdn.com/kf/S0a445657076c4e3aaf9eea90761b657dC.jpg?width=1000&amp;height=1191&amp;hash=2191><img src=https://ae01.alicdn.com/kf/S333c5f7ca5964836983eb1d6ef99f477a.jpg?width=1000&amp;height=1567&amp;hash=2567><img src=https://ae01.alicdn.com/kf/Sf0a402e18be44c0ca93aeb4915e61e901.jpg?width=1000&amp;height=1471&amp;hash=2471><img src=https://ae01.alicdn.com/kf/S91795d6ba0534fe29e8e3243b906ab6cW.jpg?width=1000&amp;height=1623&amp;hash=2623><img src=https://ae01.alicdn.com/kf/Sea2037fa6ffd45f6b4d8937e4d9da5f94.jpg?width=1000&amp;height=1570&amp;hash=2570><img src=https://ae01.alicdn.com/kf/S7097d73b443241dc9cb6942f768a96eeg.jpg?width=1000&amp;height=1124&amp;hash=2124><img src=https://ae01.alicdn.com/kf/S81f737cb942b401f87cdae32da0d61a83.jpg?width=1000&amp;height=1382&amp;hash=2382><img src=https://ae01.alicdn.com/kf/S358e1a059fb34f74b44f847ded45c3e2A.jpg?width=1000&amp;height=1339&amp;hash=2339></p>","نعم","ADAE1005008619108277","115.72","","","",""," ","لا","0.1","kg","متاح","","","لا","","","","","نعم","","اللون","صورة","","","","","","","","","","","","","",""
"1698271551","خيار","ساعة ذكية ٢ في ١ مع سماعة رأس بلوتوث","","","","","316.00","9999","","","12000045975321024","115.72","","","","","","","","","","","","","","","","","","","","","سيليكون أسود","https://ae01.alicdn.com/kf/S9926b32ce01a4338b271ce4aa9afc0ecB.jpg","","","","","","","","","","","",""
"923185208","خيار","ساعة ذكية ٢ في ١ مع سماعة رأس بلوتوث","","","","","319.81","9999","","","12000045975321021","119.53","","","","","","","","","","","","","","","","","","","","","جلد ذهبي","https://ae01.alicdn.com/kf/S9bb4496bf038461e93b6a88e7bf85e64U.jpg","","","","","","","","","","","",""
"14933817","خيار","ساعة ذكية ٢ في ١ مع سماعة رأس بلوتوث","","","","","319.81","9999","","","12000045975321020","119.53","","","","","","","","","","","","","","","","","","","","","جلد أسود","https://ae01.alicdn.com/kf/S9e37fd39606e48b9b3d04ccf0f2ea481I.jpg","","","","","","","","","","","",""
"1388903994","خيار","ساعة ذكية ٢ في ١ مع سماعة رأس بلوتوث","","","","","319.81","9999","","","12000045975321023","119.53","","","","","","","","","","","","","","","","","","","","","حديد ذهبي","https://ae01.alicdn.com/kf/Sec4f83f06a3549218a4c16ddb25e1d6fF.jpg","","","","","","","","","","","",""
"747969851","خيار","ساعة ذكية ٢ في ١ مع سماعة رأس بلوتوث","","","","","319.81","9999","","","12000045975321022","119.53","","","","","","","","","","","","","","","","","","","","","حديد أسود","https://ae01.alicdn.com/kf/Sf66189b244394ed0be5203f53798c165y.jpg","","","","","","","","","","","",""
"2121415684","خيار","ساعة ذكية ٢ في ١ مع سماعة رأس بلوتوث","","","","","316.00","9999","","","12000045975321019","115.72","","","","","","","","","","","","","","","","","","","","","سيليكون ذهبي","https://ae01.alicdn.com/kf/Sd242a033b13747bd84b3295d5fdfaa1e2.jpg","","","","","","","","","","","",""
