"رقم الطلب","تاريخ الطلب","حالة الطلب","اسماء المنتجات مع SKU","SKU","إجمالي الطلب","الضريبة","تكلفة الشحن","الخصم","طريقة الدفع","المدينة"
165711650,"2025-02-15 02:31","ملغي","'(SKU: 14:200004890)شاشة عرض OBD2 للسيارة(Qty: 1)'","14:200004890",445,0,20,0,"مدى","Khamis Mushait"
169317126,"2025-03-03 05:44","محذوف","'(SKU: 14:1052)هاتف سيرفو المصغر القابل للطي(Qty: 1)'","14:1052",263.78,0,20,0,"حوالة بنكيةالبنك الأهلي التجاري","Baljurashi"
141678855,"2024-09-29 02:00","تم التوصيل","'(SKU: 12000036539349045)روبوت ذكي Eilik-Smart AI، تفاعل ذكي(Qty: 1)'","12000036539349045",644,0,20,0,"تمارا","Bahrah"
186456409,"2025-05-29 18:16","تم التوصيل","'(SKU: 12000047914835460)دفتر الكتروني ذكي مع قلم iFLYTEK AINOTE Air 2(Qty: 1)'","12000047914835460",2097.17,0,17.21,0,"تمارا","Riyadh"
163290969,"2025-02-02 23:06","محذوف","'(SKU: )تيست(Qty: 1)'","",15,0,0,0,"البطاقة الإئتمانية",""
169307176,"2025-03-03 04:42","ملغي","'(SKU: 14:173)هاتف سيرفو مصغر قابل للطي مع راديو FM(Qty: 1)'","14:173",263.89,0,20,0,"البطاقة الإئتمانية","Baljurashi"
158328007,"2025-01-04 23:47","محذوف","'(SKU: )تيست(Qty: 1)'","",50,0,0,0,"البطاقة الإئتمانية",""
163815439,"2025-02-05 12:18","تم التوصيل","'(SKU: 12000039950762499)ساعة حائط LED مع تحكم عن بعد(Qty: 1)'","12000039950762499",172,0,20,0,"حوالة بنكيةالبنك الأهلي التجاري","Al Hofuf"
135219354,"2024-08-31 05:56","تم التوصيل","'(SKU: 12000039841805307)شخصية كرتونية متحركة(Qty: 1)'","12000039841805307",158.02,0,20,0,"تمارا","Afif"
127119810,"2024-07-09 16:27","تم التوصيل","'(SKU: 12000038629401529)ساعة ذكية بمنفذ شريحة اتصال متطورة(Qty: 1)'","12000038629401529",504.34,0,24,0,"البطاقة الإئتمانية","Al Jubail"
171286124,"2025-03-09 23:12","ملغي","'(SKU: 14:175)روبوت ذكي Eilik-Smart AI، تفاعل ذكي(Qty: 2)'","14:175",1493.98,0,20,0,"البطاقة الإئتمانية","Jeddah"
138304248,"2024-09-13 15:37","ملغي","'(SKU: )محطة طاقة متنقلة(Qty: 1)'","",1520,0,20,0,"حوالة بنكيةالبنك الأهلي التجاري","Jazan"
127335358,"2024-07-11 00:37","تم التوصيل","'(SKU: 12000038821478063)Tuya-قفل باب بصمة الإلكترونية ، عارض الأمن ، التقاط الصور ، كاميرا رقمية ذكية ، نسخة مطورة سعودية ، واي فاي(Qty: 1)'","12000038821478063",302.71,0,20,0,"تمارا","Jeddah"
172046465,"2025-03-12 04:52","ملغي","'(SKU: 14:29)شاحن لاسلكي مغناطيسي من KUULAA(Qty: 1)','(SKU: 12000042555935445)طاولة جانبية ذكية من الخشب الصلب مع شحن لاسلكي(Qty: 1)'","14:29, 12000042555935445",831.28,0,20,0,"البطاقة الإئتمانية","Riyadh"
145314452,"2024-10-19 17:00","ملغي","'(SKU: 12000037042322021)طاولة جانبية ذكية من الخشب الفاخر(Qty: 2)'","12000037042322021",1100,0,20,0,"مدى","Mecca"
171302142,"2025-03-10 00:04","محذوف","'(SKU: )تست(Qty: 1)'","",80,0,0,0,"البطاقة الإئتمانية",""
204271112,"2025-09-04 23:38","تم التنفيذ","'(SKU: 12000046617096572)روبوت ذكي للسيارة Mochi3(Qty: 1)'","12000046617096572",1212,0,20,0,"تمارا","Al Jubail"
154613626,"2024-12-14 19:43","ملغي","'(SKU: 12000038928681921)بنك طاقة محمول صغير DY19 مع وحدة تحكم ألعاب يدوية(Qty: 1)'","12000038928681921",191.42,0,20,0,"تمارا","Jeddah"
135375539,"2024-08-31 22:36","تم التوصيل","'(SKU: 12000040855692405)مقياس ملتيميتر متعدد رقمي بشاشة كبيرة(Qty: 1)'","12000040855692405",156.48,0,20,0,"البطاقة الإئتمانية","Al Jubail"
171381262,"2025-03-10 03:55","تم التوصيل","'(SKU: 12000042656733693)سماعات MINISO M98 – بلوتوث 5.4، ترجمة فورية، صوت عالي الدقة، بطارية تدوم 40 ساعة(Qty: 1)'","12000042656733693",240,0,20,0,"البطاقة الإئتمانية","Jeddah"
182341252,"2025-05-05 05:50","تم التوصيل","'(SKU: 12000037868103915)نظارات RayNeo Air 2 XR Th الذكية 120Hz(Qty: 1)'","12000037868103915",1413,0,20,0,"تمارا","Jeddah"
163267389,"2025-02-02 21:32","ملغي","'(SKU: 12000038947036913)جهاز ترجمة ذكي ChatGPT - مترجم صوتي محمول(Qty: 1)'","12000038947036913",220,0,20,0,"البطاقة الإئتمانية","Sabt Alalayah"
151120955,"2024-11-26 00:16","تم التوصيل","'(SKU: 12000039083943609)مجموعة ألعاب ليزر تاغ كهربائية مع جهاز عرض بالأشعة تحت الحمراء(Qty: 2)'","12000039083943609",831.09,0,20,42.69,"البطاقة الإئتمانية","Dammam"
166038502,"2025-02-16 23:45","تم التوصيل","'(SKU: 12000036539349045)روبوت ذكي Eilik-Smart AI، تفاعل ذكي(Qty: 1)'","12000036539349045",698,0,20,0,"تمارا","Unayzah"
130336657,"2024-08-01 13:08","ملغي","'(SKU: 12000039267215170)مروحة تبريد فائقة محمولة(Qty: 1)'","12000039267215170",77.64,0,20,0,"البطاقة الإئتمانية","Al Jubail"
172072394,"2025-03-12 06:24","محذوف","'(SKU: )تيست(Qty: 1)'","",30,0,0,0,"البطاقة الإئتمانية",""
147319065,"2024-10-31 19:34","تم التوصيل","'(SKU: 12000039892821130)شاحن جوال للسيارة قابل للتدوير(Qty: 1)'","12000039892821130",209.62,0,20,0,"تمارا","Riyadh"
156789043,"2024-12-28 15:15","تم التوصيل","'(SKU: 12000036169611613)مجفف ملابس كهربائي منزلي قابل للطي(Qty: 1)'","12000036169611613",260,0,20,0,"البطاقة الإئتمانية","Unayzah"
124125981,"2024-06-18 03:06","محذوف","'(SKU: )ساعة(Qty: 1)'","",33,0,24,0,"دفع عند الإستلام","Al Jubail"
147262196,"2024-10-31 14:40","تم التوصيل","'(SKU: 12000039930326599)كاميرا أمنية من SHIWOJIA تعمل بالطاقة الشمسية(Qty: 1)'","12000039930326599",604.7,0,20,0,"البطاقة الإئتمانية","Ahad Al Masarihah"
123754488,"2024-06-14 14:48","محذوف","'(SKU: 12000038575148610)وحدة تحكم أصلية لنظارة Meta Oculus Quest 2 ، يسار ويمين ، سماعة VR(Qty: 1)'","12000038575148610",574.83,\N,0,0,"مدى","Jeddah"
145332542,"2024-10-19 19:22","ملغي","'(SKU: 12000037756334210)ساعة ذكية برو للرجال والنساء(Qty: 1)'","12000037756334210",85.66,0,20,0,"البطاقة الإئتمانية","Al Jubail"
